date,market_value
28-07-1994,3095.9
29-07-1994,3082.6
01-08-1994,3097.4
02-08-1994,3157.5
03-08-1994,3160.4
04-08-1994,3150.5
05-08-1994,3167.5
08-08-1994,3171.9
09-08-1994,3168.6
10-08-1994,3167
11-08-1994,3138.2
12-08-1994,3142.3
15-08-1994,3142.2
16-08-1994,3147.3
17-08-1994,3190.3
18-08-1994,3182.6
19-08-1994,3191.4
22-08-1994,3171.3
23-08-1994,3175.1
24-08-1994,3205.2
25-08-1994,3234.2
26-08-1994,3265.1
29-08-1994,3265.1
30-08-1994,3249.6
31-08-1994,3251.3
01-09-1994,3216.5
02-09-1994,3222.68
05-09-1994,3241.46
06-09-1994,3205.43
07-09-1994,3203.85
08-09-1994,3180.01
09-09-1994,3139.3
12-09-1994,3128.8
13-09-1994,3121.4
14-09-1994,3079.8
15-09-1994,3112.7
16-09-1994,3065.1
19-09-1994,3079.1
20-09-1994,3037.3
21-09-1994,3014.8
22-09-1994,3021.2
23-09-1994,3028.2
26-09-1994,2999.83
27-09-1994,3008.54
28-09-1994,3038.7
29-09-1994,2992.5
30-09-1994,3026.3
03-10-1994,2983.47
04-10-1994,3001.76
05-10-1994,2956.31
06-10-1994,2984.37
07-10-1994,2998.68
10-10-1994,3032.3
11-10-1994,3073
12-10-1994,3100.5
13-10-1994,3141.9
14-10-1994,3106.7
17-10-1994,3120.2
18-10-1994,3085.3
19-10-1994,3060.8
20-10-1994,3063.2
21-10-1994,3032.8
24-10-1994,3029.1
25-10-1994,3000.9
26-10-1994,2999.9
27-10-1994,3029.6
28-10-1994,3083.79
31-10-1994,3097.42
01-11-1994,3096.29
02-11-1994,3081.34
03-11-1994,3104.36
04-11-1994,3097.61
07-11-1994,3065.8
08-11-1994,3063.8
09-11-1994,3099.6
10-11-1994,3103.5
11-11-1994,3075.9
14-11-1994,3095.3
15-11-1994,3135.4
16-11-1994,3146.5
17-11-1994,3127.5
18-11-1994,3131
21-11-1994,3121
22-11-1994,3078.7
23-11-1994,3027.5
24-11-1994,3036.6
25-11-1994,3033.5
28-11-1994,3047.1
29-11-1994,3061.1
30-11-1994,3081.4
01-12-1994,3039.65
02-12-1994,3017.34
05-12-1994,3033.5
06-12-1994,3016.1
07-12-1994,3012.5
08-12-1994,3013.8
09-12-1994,2977.3
12-12-1994,2943.4
13-12-1994,2946.4
14-12-1994,2980.6
15-12-1994,2973.4
16-12-1994,3013.6
19-12-1994,3034.44
20-12-1994,3058.1
21-12-1994,3070.4
22-12-1994,3091.7
23-12-1994,3083.4
26-12-1994,3083.4
27-12-1994,3083.4
28-12-1994,3095.81
29-12-1994,3065.65
30-12-1994,3065.54
02-01-1995,3065.54
03-01-1995,3065.7
04-01-1995,3051.6
05-01-1995,3032.3
06-01-1995,3065
09-01-1995,3055.8
10-01-1995,3060.4
11-01-1995,3049.4
12-01-1995,3033.2
13-01-1995,3048.3
16-01-1995,3076.7
17-01-1995,3054.4
18-01-1995,3054.9
19-01-1995,3028.6
20-01-1995,2995
23-01-1995,2954.18
24-01-1995,2968.97
25-01-1995,2982.18
26-01-1995,3007.27
27-01-1995,3022.2
30-01-1995,2995.9
31-01-1995,2991.6
01-02-1995,3017.3
02-02-1995,3034.7
03-02-1995,3059.7
06-02-1995,3062
07-02-1995,3072.7
08-02-1995,3072.5
09-02-1995,3098.97
10-02-1995,3109.9
13-02-1995,3081.1
14-02-1995,3071.3
15-02-1995,3074.9
16-02-1995,3051.1
17-02-1995,3044.2
20-02-1995,3018.6
21-02-1995,3023.4
22-02-1995,3019.5
23-02-1995,3049.3
24-02-1995,3037.67
27-02-1995,3025.3
28-02-1995,3009.3
01-03-1995,3041.2
02-03-1995,3038.2
03-03-1995,3025.1
06-03-1995,3001.9
07-03-1995,2976.97
08-03-1995,2992.1
09-03-1995,2986.92
10-03-1995,3021.1
13-03-1995,3011.8
14-03-1995,3050.6
15-03-1995,3047
16-03-1995,3094.14
17-03-1995,3089.33
20-03-1995,3124.22
21-03-1995,3134.96
22-03-1995,3139.69
23-03-1995,3136.4
24-03-1995,3153.4
27-03-1995,3149.8
28-03-1995,3128.3
29-03-1995,3142.3
30-03-1995,3176.2
31-03-1995,3137.9
03-04-1995,3143.1
04-04-1995,3188.1
05-04-1995,3190.15
06-04-1995,3200.85
07-04-1995,3210.9
10-04-1995,3204.2
11-04-1995,3190.9
12-04-1995,3209.8
13-04-1995,3208.8
14-04-1995,3208.8
17-04-1995,3208.8
18-04-1995,3194.51
19-04-1995,3170.1
20-04-1995,3174.7
21-04-1995,3199.9
24-04-1995,3209.3
25-04-1995,3214.9
26-04-1995,3226.2
27-04-1995,3217.6
28-04-1995,3216.7
01-05-1995,3220.38
02-05-1995,3248.21
03-05-1995,3262.61
04-05-1995,3264.33
05-05-1995,3251.7
08-05-1995,3251.7
09-05-1995,3261.2
10-05-1995,3290.1
11-05-1995,3317.9
12-05-1995,3310.3
15-05-1995,3310.7
16-05-1995,3300.8
17-05-1995,3297.4
18-05-1995,3285.8
19-05-1995,3261
22-05-1995,3284.47
23-05-1995,3291.78
24-05-1995,3327.28
25-05-1995,3328.2
26-05-1995,3311.09
29-05-1995,3311.09
30-05-1995,3309.9
31-05-1995,3319.35
01-06-1995,3340.6
02-06-1995,3345
05-06-1995,3376.6
06-06-1995,3380
07-06-1995,3370.8
08-06-1995,3380.8
09-06-1995,3337.7
12-06-1995,3344.63
13-06-1995,3347.99
14-06-1995,3339.8
15-06-1995,3370.4
16-06-1995,3366.11
19-06-1995,3381.3
20-06-1995,3377.2
21-06-1995,3378.3
22-06-1995,3403.8
23-06-1995,3379.4
26-06-1995,3309.2
27-06-1995,3313.2
28-06-1995,3282.7
29-06-1995,3294
30-06-1995,3314.6
03-07-1995,3323.65
04-07-1995,3349.2
05-07-1995,3394.9
06-07-1995,3388.3
07-07-1995,3462.9
10-07-1995,3455
11-07-1995,3464
12-07-1995,3450.6
13-07-1995,3447.16
14-07-1995,3429.18
17-07-1995,3442.6
18-07-1995,3420.7
19-07-1995,3405.3
20-07-1995,3400.4
21-07-1995,3413.1
24-07-1995,3431.6
25-07-1995,3432.9
26-07-1995,3454.3
27-07-1995,3458.3
28-07-1995,3468.9
31-07-1995,3463.3
01-08-1995,3449.9
02-08-1995,3499.9
03-08-1995,3475.6
04-08-1995,3482.4
07-08-1995,3483.5
08-08-1995,3468.8
09-08-1995,3468.3
10-08-1995,3474.7
11-08-1995,3467.5
14-08-1995,3441.36
15-08-1995,3444.36
16-08-1995,3465.06
17-08-1995,3470.56
18-08-1995,3509.8
21-08-1995,3535.7
22-08-1995,3530.2
23-08-1995,3515.9
24-08-1995,3519.96
25-08-1995,3524.93
28-08-1995,3524.93
29-08-1995,3502.6
30-08-1995,3504
31-08-1995,3477.8
01-09-1995,3509.4
04-09-1995,3522.7
05-09-1995,3532.4
06-09-1995,3557.7
07-09-1995,3545.6
08-09-1995,3554.5
11-09-1995,3549.3
12-09-1995,3535.9
13-09-1995,3570.78
14-09-1995,3565.4
15-09-1995,3564.58
18-09-1995,3533.3
19-09-1995,3541.4
20-09-1995,3561.5
21-09-1995,3557.9
22-09-1995,3514.8
25-09-1995,3506.98
26-09-1995,3523.3
27-09-1995,3484.96
28-09-1995,3478.95
29-09-1995,3508.25
02-10-1995,3520.2
03-10-1995,3524.2
04-10-1995,3544.1
05-10-1995,3544.4
06-10-1995,3526.5
09-10-1995,3510.3
10-10-1995,3460.1
11-10-1995,3474.3
12-10-1995,3523.8
13-10-1995,3568
16-10-1995,3557.26
17-10-1995,3562.18
18-10-1995,3593
19-10-1995,3578.6
20-10-1995,3551.4
23-10-1995,3531.5
24-10-1995,3535.3
25-10-1995,3537.8
26-10-1995,3519.6
27-10-1995,3497.9
30-10-1995,3510
31-10-1995,3529.1
01-11-1995,3518.7
02-11-1995,3523
03-11-1995,3500.4
06-11-1995,3514.84
07-11-1995,3522.4
08-11-1995,3537.1
09-11-1995,3541.64
10-11-1995,3523.42
13-11-1995,3536.82
14-11-1995,3547.94
15-11-1995,3571.43
16-11-1995,3610.8
17-11-1995,3609.18
20-11-1995,3628.76
21-11-1995,3604.07
22-11-1995,3632.4
23-11-1995,3602.5
24-11-1995,3624
27-11-1995,3648.99
28-11-1995,3648.85
29-11-1995,3655.52
30-11-1995,3664.32
01-12-1995,3680.41
04-12-1995,3669.7
05-12-1995,3664.25
06-12-1995,3662.77
07-12-1995,3639.49
08-12-1995,3630
11-12-1995,3652.1
12-12-1995,3654.9
13-12-1995,3662.4
14-12-1995,3671.6
15-12-1995,3642.6
18-12-1995,3596.07
19-12-1995,3576.9
20-12-1995,3613.69
21-12-1995,3633.3
22-12-1995,3658.34
25-12-1995,3658.34
26-12-1995,3658.34
27-12-1995,3676.4
28-12-1995,3676.7
29-12-1995,3689.3
01-01-1996,3689.3
02-01-1996,3687.9
03-01-1996,3715.6
04-01-1996,3714.1
05-01-1996,3704.5
08-01-1996,3720.64
09-01-1996,3700.3
10-01-1996,3671.45
11-01-1996,3654.9
12-01-1996,3657.3
15-01-1996,3662.7
16-01-1996,3710.6
17-01-1996,3704.21
18-01-1996,3748.66
19-01-1996,3748.45
22-01-1996,3754.2
23-01-1996,3734.95
24-01-1996,3758.2
25-01-1996,3734.2
26-01-1996,3734.7
29-01-1996,3734.63
30-01-1996,3735.3
31-01-1996,3759.3
01-02-1996,3752.8
02-02-1996,3781.3
05-02-1996,3746.6
06-02-1996,3747.55
07-02-1996,3726.09
08-02-1996,3708.4
09-02-1996,3716.3
12-02-1996,3726.6
13-02-1996,3747.6
14-02-1996,3744.99
15-02-1996,3779.8
16-02-1996,3770.9
19-02-1996,3744.27
20-02-1996,3714.6
21-02-1996,3725.6
22-02-1996,3740.02
23-02-1996,3740.3
26-02-1996,3704.2
27-02-1996,3715.9
28-02-1996,3738.2
29-02-1996,3727.6
01-03-1996,3752.7
04-03-1996,3768.6
05-03-1996,3777.1
06-03-1996,3758.9
07-03-1996,3758.2
08-03-1996,3710.3
11-03-1996,3674.5
12-03-1996,3639.52
13-03-1996,3640.33
14-03-1996,3681.83
15-03-1996,3644.8
18-03-1996,3669.6
19-03-1996,3693
20-03-1996,3685.4
21-03-1996,3698.3
22-03-1996,3707
25-03-1996,3681.9
26-03-1996,3660.9
27-03-1996,3672.4
28-03-1996,3672.6
29-03-1996,3699.7
01-04-1996,3718.4
02-04-1996,3728.5
03-04-1996,3725.1
04-04-1996,3755.6
05-04-1996,3755.6
08-04-1996,3755.6
09-04-1996,3758.6
10-04-1996,3767.4
11-04-1996,3744.2
12-04-1996,3766.8
15-04-1996,3790.5
16-04-1996,3825.3
17-04-1996,3805.6
18-04-1996,3820.7
19-04-1996,3857.1
22-04-1996,3852.7
23-04-1996,3833
24-04-1996,3817.6
25-04-1996,3819.3
26-04-1996,3832.8
29-04-1996,3809.2
30-04-1996,3817.9
01-05-1996,3806
02-05-1996,3776.4
03-05-1996,3751.6
06-05-1996,3751.6
07-05-1996,3723
08-05-1996,3707.3
09-05-1996,3728.3
10-05-1996,3754.4
13-05-1996,3739.2
14-05-1996,3759.7
15-05-1996,3776.2
16-05-1996,3753.6
17-05-1996,3789.6
20-05-1996,3778.2
21-05-1996,3789.4
22-05-1996,3764.2
23-05-1996,3747
24-05-1996,3752.1
27-05-1996,3752.1
28-05-1996,3760.2
29-05-1996,3775.7
30-05-1996,3746.7
31-05-1996,3747.8
03-06-1996,3739.2
04-06-1996,3755.2
05-06-1996,3753.4
06-06-1996,3760.3
07-06-1996,3706.8
10-06-1996,3728.8
11-06-1996,3755.7
12-06-1996,3769.2
13-06-1996,3761.7
14-06-1996,3753.6
17-06-1996,3761.5
18-06-1996,3756.4
19-06-1996,3753.2
20-06-1996,3727.5
21-06-1996,3722.3
24-06-1996,3710.8
25-06-1996,3679.5
26-06-1996,3695.5
27-06-1996,3678.8
28-06-1996,3711
01-07-1996,3725.6
02-07-1996,3725.7
03-07-1996,3714.1
04-07-1996,3760.6
05-07-1996,3743.2
08-07-1996,3741.5
09-07-1996,3752.3
10-07-1996,3765.8
11-07-1996,3749
12-07-1996,3728.3
15-07-1996,3698.3
16-07-1996,3632.3
17-07-1996,3658.2
18-07-1996,3693.4
19-07-1996,3710.5
22-07-1996,3681.3
23-07-1996,3708.4
24-07-1996,3668.8
25-07-1996,3684.7
26-07-1996,3673.3
29-07-1996,3678.8
30-07-1996,3668.5
31-07-1996,3703.2
01-08-1996,3734.4
02-08-1996,3770.6
05-08-1996,3788.3
06-08-1996,3788.4
07-08-1996,3811.1
08-08-1996,3811.4
09-08-1996,3810.7
12-08-1996,3803.3
13-08-1996,3823.4
14-08-1996,3830.3
15-08-1996,3837.4
16-08-1996,3872.9
19-08-1996,3863.7
20-08-1996,3883.2
21-08-1996,3872.1
22-08-1996,3891.1
23-08-1996,3907.5
26-08-1996,3907.5
27-08-1996,3905.7
28-08-1996,3918.7
29-08-1996,3885
30-08-1996,3867.6
02-09-1996,3884.4
03-09-1996,3855.9
04-09-1996,3872.7
05-09-1996,3887.2
06-09-1996,3893
09-09-1996,3910.8
10-09-1996,3916.1
11-09-1996,3905.6
12-09-1996,3932.6
13-09-1996,3967.9
16-09-1996,3977.2
17-09-1996,3972.3
18-09-1996,3955.7
19-09-1996,3974.3
20-09-1996,3964.1
23-09-1996,3919.7
24-09-1996,3910.5
25-09-1996,3935.7
26-09-1996,3933.2
27-09-1996,3946.4
30-09-1996,3953.7
01-10-1996,3992.2
02-10-1996,4015.1
03-10-1996,4000
04-10-1996,4024.8
07-10-1996,4031.5
08-10-1996,4035.6
09-10-1996,4009.3
10-10-1996,3994.7
11-10-1996,4028.1
14-10-1996,4038.7
15-10-1996,4050.8
16-10-1996,4024.4
17-10-1996,4042.1
18-10-1996,4053.1
21-10-1996,4073.1
22-10-1996,4057.2
23-10-1996,4028.4
24-10-1996,3999.4
25-10-1996,4022.4
28-10-1996,4025.3
29-10-1996,3993.5
30-10-1996,3963.9
31-10-1996,3979.1
01-11-1996,3948.5
04-11-1996,3928.1
05-11-1996,3921.1
06-11-1996,3935.7
07-11-1996,3900.4
08-11-1996,3910.8
11-11-1996,3914.4
12-11-1996,3934.3
13-11-1996,3926.9
14-11-1996,3926.1
15-11-1996,3958.2
18-11-1996,3962.1
19-11-1996,3978.1
20-11-1996,3962.8
21-11-1996,3953.8
22-11-1996,4018.7
25-11-1996,4054.6
26-11-1996,4068.4
27-11-1996,4049.2
28-11-1996,4050.2
29-11-1996,4058
02-12-1996,4038.5
03-12-1996,4061.5
04-12-1996,4045.2
05-12-1996,4051.2
06-12-1996,3963
09-12-1996,4011.6
10-12-1996,4035.7
11-12-1996,3982.5
12-12-1996,3990.7
13-12-1996,3972.4
16-12-1996,3993.8
17-12-1996,3979.6
18-12-1996,4018.2
19-12-1996,4051.3
20-12-1996,4077.6
23-12-1996,4087.2
24-12-1996,4092.5
25-12-1996,4092.5
26-12-1996,4092.5
27-12-1996,4091
30-12-1996,4115.7
31-12-1996,4118.5
01-01-1997,4118.5
02-01-1997,4057.4
03-01-1997,4089.5
06-01-1997,4106.5
07-01-1997,4078.8
08-01-1997,4087.5
09-01-1997,4087
10-01-1997,4056.6
13-01-1997,4107.3
14-01-1997,4168.2
15-01-1997,4158.9
16-01-1997,4197.5
17-01-1997,4207.7
20-01-1997,4194
21-01-1997,4195.5
22-01-1997,4219.1
23-01-1997,4271.5
24-01-1997,4218.8
27-01-1997,4212
28-01-1997,4237.4
29-01-1997,4207.5
30-01-1997,4228.4
31-01-1997,4275.8
03-02-1997,4257.8
04-02-1997,4260.9
05-02-1997,4281.5
06-02-1997,4265.9
07-02-1997,4307.8
10-02-1997,4307.7
11-02-1997,4304.3
12-02-1997,4304.3
13-02-1997,4327.1
14-02-1997,4341
17-02-1997,4337.8
18-02-1997,4332.3
19-02-1997,4357.4
20-02-1997,4356.1
21-02-1997,4336.8
24-02-1997,4331.1
25-02-1997,4344.7
26-02-1997,4329.3
27-02-1997,4339.2
28-02-1997,4308.3
03-03-1997,4307.1
04-03-1997,4357.7
05-03-1997,4360.1
06-03-1997,4399.3
07-03-1997,4420.3
10-03-1997,4437.4
11-03-1997,4444.3
12-03-1997,4422.5
13-03-1997,4397.7
14-03-1997,4424.3
17-03-1997,4373.3
18-03-1997,4356.8
19-03-1997,4332.2
20-03-1997,4258.1
21-03-1997,4254.8
24-03-1997,4214.8
25-03-1997,4270.7
26-03-1997,4301.5
27-03-1997,4312.9
28-03-1997,4312.9
31-03-1997,4312.9
01-04-1997,4248.1
02-04-1997,4236.6
03-04-1997,4214.6
04-04-1997,4236.6
07-04-1997,4271.7
08-04-1997,4269.3
09-04-1997,4292.3
10-04-1997,4313.2
11-04-1997,4270.7
14-04-1997,4251.7
15-04-1997,4286.8
16-04-1997,4294.6
17-04-1997,4298.9
18-04-1997,4310.5
21-04-1997,4328.7
22-04-1997,4346.1
23-04-1997,4387.7
24-04-1997,4388.5
25-04-1997,4369.7
28-04-1997,4389.7
29-04-1997,4433.2
30-04-1997,4436
01-05-1997,4445
02-05-1997,4455.6
05-05-1997,4455.6
06-05-1997,4519.3
07-05-1997,4537.5
08-05-1997,4580.4
09-05-1997,4630.9
12-05-1997,4669.6
13-05-1997,4691
14-05-1997,4686.9
15-05-1997,4681.2
16-05-1997,4693.9
19-05-1997,4645.2
20-05-1997,4607.5
21-05-1997,4642
22-05-1997,4651.8
23-05-1997,4661.8
26-05-1997,4661.8
27-05-1997,4681.6
28-05-1997,4677.5
29-05-1997,4672.3
30-05-1997,4621.3
02-06-1997,4562.8
03-06-1997,4557.8
04-06-1997,4557.1
05-06-1997,4576.2
06-06-1997,4645
09-06-1997,4686.7
10-06-1997,4739.6
11-06-1997,4724.8
12-06-1997,4757.4
13-06-1997,4783.1
16-06-1997,4745.1
17-06-1997,4682.2
18-06-1997,4657
19-06-1997,4653.7
20-06-1997,4593.9
23-06-1997,4575.8
24-06-1997,4596.3
25-06-1997,4640
26-06-1997,4657.9
27-06-1997,4640.3
30-06-1997,4604.6
01-07-1997,4728.3
02-07-1997,4751.4
03-07-1997,4831.7
04-07-1997,4812.8
07-07-1997,4810.7
08-07-1997,4758.5
09-07-1997,4762.4
10-07-1997,4767.8
11-07-1997,4799.5
14-07-1997,4857.4
15-07-1997,4899.3
16-07-1997,4964.2
17-07-1997,4949
18-07-1997,4877.2
21-07-1997,4805.7
22-07-1997,4846.7
23-07-1997,4874.5
24-07-1997,4862.9
25-07-1997,4851.5
28-07-1997,4862.6
29-07-1997,4876.6
30-07-1997,4927.3
31-07-1997,4907.5
01-08-1997,4899.3
04-08-1997,4895.7
05-08-1997,4960.6
06-08-1997,5026.2
07-08-1997,5086.8
08-08-1997,5031.3
11-08-1997,5031.9
12-08-1997,5075.8
13-08-1997,5003.6
14-08-1997,4991.3
15-08-1997,4865.8
18-08-1997,4835
19-08-1997,4914.2
20-08-1997,4958.4
21-08-1997,4978
22-08-1997,4901.1
25-08-1997,4901.1
26-08-1997,4886.3
27-08-1997,4906.9
28-08-1997,4845.4
29-08-1997,4817.5
01-09-1997,4870.2
02-09-1997,4952.2
03-09-1997,4976.9
04-09-1997,4991.3
05-09-1997,4994.2
08-09-1997,4985.2
09-09-1997,4950.5
10-09-1997,4905.2
11-09-1997,4854.8
12-09-1997,4848.2
15-09-1997,4902.9
16-09-1997,4976.4
17-09-1997,5013.1
18-09-1997,5046.2
19-09-1997,5023.8
22-09-1997,5075.7
23-09-1997,5027.5
24-09-1997,5077.2
25-09-1997,5065.5
26-09-1997,5226.3
29-09-1997,5220.3
30-09-1997,5244.2
01-10-1997,5317.1
02-10-1997,5296.1
03-10-1997,5330.8
06-10-1997,5300
07-10-1997,5305.6
08-10-1997,5262.1
09-10-1997,5217.8
10-10-1997,5227.3
13-10-1997,5300.1
14-10-1997,5298.9
15-10-1997,5263.7
16-10-1997,5287.9
17-10-1997,5271.1
20-10-1997,5211
21-10-1997,5225.9
22-10-1997,5148.8
23-10-1997,4991.5
24-10-1997,4970.2
27-10-1997,4840.7
28-10-1997,4755.4
29-10-1997,4871.8
30-10-1997,4801.9
31-10-1997,4842.3
03-11-1997,4906.4
04-11-1997,4897.4
05-11-1997,4908.3
06-11-1997,4863.8
07-11-1997,4764.3
10-11-1997,4806.8
11-11-1997,4793.7
12-11-1997,4720.4
13-11-1997,4711
14-11-1997,4741.8
17-11-1997,4867
18-11-1997,4845.4
19-11-1997,4830.1
20-11-1997,4908.4
21-11-1997,4985.8
24-11-1997,4898.6
25-11-1997,4863.5
26-11-1997,4891.2
27-11-1997,4889
28-11-1997,4831.8
01-12-1997,4921.8
02-12-1997,4977.6
03-12-1997,4970.7
04-12-1997,5082.3
05-12-1997,5142.9
08-12-1997,5187.4
09-12-1997,5177.1
10-12-1997,5130.7
11-12-1997,5035.9
12-12-1997,5045.2
15-12-1997,5121.8
16-12-1997,5203.4
17-12-1997,5190.8
18-12-1997,5168.3
19-12-1997,5020.2
22-12-1997,5018.2
23-12-1997,5049.8
24-12-1997,5013.9
25-12-1997,5013.9
26-12-1997,5013.9
29-12-1997,5112.4
30-12-1997,5132.3
31-12-1997,5135.5
01-01-1998,5135.5
02-01-1998,5193.5
05-01-1998,5262.5
06-01-1998,5264.4
07-01-1998,5224.1
08-01-1998,5237.1
09-01-1998,5138.3
12-01-1998,5068.8
13-01-1998,5083.9
14-01-1998,5106.9
15-01-1998,5165.8
16-01-1998,5263.1
19-01-1998,5273.6
20-01-1998,5278.2
21-01-1998,5272.3
22-01-1998,5253.1
23-01-1998,5181.4
26-01-1998,5237.2
27-01-1998,5326.3
28-01-1998,5372.6
29-01-1998,5422.4
30-01-1998,5458.5
02-02-1998,5599
03-02-1998,5612.8
04-02-1998,5595.8
05-02-1998,5606.4
06-02-1998,5629.7
09-02-1998,5600.9
10-02-1998,5613.3
11-02-1998,5607.9
12-02-1998,5552.5
13-02-1998,5582.3
16-02-1998,5619.9
17-02-1998,5709.5
18-02-1998,5723.4
19-02-1998,5718.5
20-02-1998,5751.6
23-02-1998,5702.8
24-02-1998,5651
25-02-1998,5745.1
26-02-1998,5764.8
27-02-1998,5767.3
02-03-1998,5820.6
03-03-1998,5807.7
04-03-1998,5733.1
05-03-1998,5695.6
06-03-1998,5782.9
09-03-1998,5818.9
10-03-1998,5828.5
11-03-1998,5829.8
12-03-1998,5794.8
13-03-1998,5782.3
16-03-1998,5785.1
17-03-1998,5834.9
18-03-1998,5903.6
19-03-1998,5997.9
20-03-1998,5956.3
23-03-1998,5947
24-03-1998,5983.7
25-03-1998,5967.8
26-03-1998,5905.6
27-03-1998,5939.3
30-03-1998,5911.9
31-03-1998,5932.2
01-04-1998,6017.6
02-04-1998,6052.8
03-04-1998,6064.2
06-04-1998,6105.8
07-04-1998,6094
08-04-1998,6055.2
09-04-1998,6105.5
10-04-1998,6105.5
13-04-1998,6105.5
14-04-1998,6104.1
15-04-1998,6074.1
16-04-1998,6002
17-04-1998,5922.2
20-04-1998,5954.1
21-04-1998,5955
22-04-1998,5931.1
23-04-1998,5898.1
24-04-1998,5863.9
27-04-1998,5722.4
28-04-1998,5806.6
29-04-1998,5833.1
30-04-1998,5928.3
01-05-1998,6010.3
04-05-1998,6010.3
05-05-1998,5986.5
06-05-1998,5992.4
07-05-1998,5938
08-05-1998,5969.8
11-05-1998,6028.3
12-05-1998,5956.7
13-05-1998,5972.9
14-05-1998,5948.5
15-05-1998,5917.8
18-05-1998,5826.2
19-05-1998,5877.8
20-05-1998,5907.4
21-05-1998,5935.6
22-05-1998,5955.6
25-05-1998,5955.6
26-05-1998,5970.7
27-05-1998,5870.2
28-05-1998,5862.3
29-05-1998,5870.7
01-06-1998,5837.9
02-06-1998,5842.3
03-06-1998,5898.4
04-06-1998,5860.8
05-06-1998,5947.3
08-06-1998,6037.8
09-06-1998,6019.8
10-06-1998,5987.4
11-06-1998,5852.5
12-06-1998,5769.8
15-06-1998,5715.7
16-06-1998,5729.7
17-06-1998,5832.7
18-06-1998,5812.1
19-06-1998,5748.1
22-06-1998,5712.4
23-06-1998,5772
24-06-1998,5804.9
25-06-1998,5858.9
26-06-1998,5877.4
29-06-1998,5884.5
30-06-1998,5832.5
01-07-1998,5919.9
02-07-1998,5960.2
03-07-1998,5988.4
06-07-1998,5990.3
07-07-1998,6003.4
08-07-1998,6009.6
09-07-1998,5969.7
10-07-1998,5929.7
13-07-1998,5958.2
