Date,apple,walmart,tesla
2021-07-15,148.041809,140.574615,650.599976
2021-07-16,145.957977,140.47538799999998,644.219971
2021-07-19,142.029602,140.147903,646.219971
2021-07-20,145.718674,140.78298999999998,660.5
2021-07-21,144.970901,140.08836399999998,655.289978
2021-07-22,146.36676,140.187607,649.26001
2021-07-23,148.12158200000002,141.33871499999998,643.380005
2021-07-26,148.550323,141.53718600000002,657.619995
2021-07-27,146.336853,141.547104,644.780029
2021-07-28,144.55213899999998,140.97155800000002,646.97998
2021-07-29,145.21018999999998,141.150177,677.349976
2021-07-30,145.42953500000002,141.457794,687.200012
2021-08-02,145.090546,141.130325,709.669983
2021-08-03,146.92511000000002,142.71807900000002,709.73999
2021-08-04,146.516327,141.745575,710.919983
2021-08-05,146.62600700000002,144.375275,714.630005
2021-08-06,145.927017,144.11726399999998,699.099976
2021-08-09,145.87708999999998,144.464584,713.76001
2021-08-10,145.38781699999998,147.540817,709.98999
2021-08-11,145.64743,148.860626,707.820007
2021-08-12,148.67301899999998,148.462234,722.25
2021-08-13,148.882721,148.930359,717.169983
2021-08-16,150.899765,150.145462,686.169983
2021-08-17,149.97113000000002,150.09565700000002,665.710022
2021-08-18,146.146698,148.50208999999998,688.98999
2021-08-19,146.486206,149.508026,673.469971
2021-08-20,147.974045,150.842651,680.26001
2021-08-23,149.491837,149.84666399999998,706.299988
2021-08-24,149.401947,148.302872,708.48999
2021-08-25,148.143784,148.36264,711.200012
2021-08-26,147.324982,146.759109,701.159973
2021-08-27,148.383453,145.932434,711.919983
2021-08-30,152.896851,147.107697,730.909973
2021-08-31,151.608734,147.50608799999998,735.719971
2021-09-01,152.287735,147.187378,734.090027
2021-09-02,153.426071,147.964249,732.3900150000001
2021-09-03,154.07513400000002,148.651474,733.570007
2021-09-07,156.461655,146.679428,752.919983
2021-09-08,154.883957,146.86866799999999,753.869995
2021-09-09,153.845474,145.832825,754.8599849999999
2021-09-10,148.75289899999999,145.304947,736.27002
2021-09-13,149.332062,144.478271,743.0
2021-09-14,147.904129,143.721329,744.48999
2021-09-15,148.812805,143.970322,755.830017
2021-09-16,148.573151,144.448395,756.98999
2021-09-17,145.847137,144.149597,759.48999
2021-09-20,142.731689,142.167587,730.169983
2021-09-21,143.22096299999998,142.446472,739.380005
2021-09-22,145.637451,142.117783,751.9400019999999
2021-09-23,146.616028,142.197464,753.6400150000001
2021-09-24,146.70588700000002,142.595856,774.3900150000001
2021-09-27,145.158142,141.67955,791.3599849999999
2021-09-28,141.70318600000002,139.936569,777.5599980000001
2021-09-29,142.621857,139.876816,781.3099980000001
2021-09-30,141.293793,138.82106000000002,775.47998
2021-10-01,142.44210800000002,136.500412,775.219971
2021-10-04,138.937225,135.185684,781.530029
2021-10-05,140.904358,136.072128,780.590027
2021-10-06,141.79306,137.06811499999998,782.75
2021-10-07,143.081177,138.681625,793.6099849999999
2021-10-08,142.691742,139.099945,785.48999
2021-10-11,142.60188300000002,138.970459,791.9400019999999
2021-10-12,141.303772,138.82106000000002,805.719971
2021-10-13,140.704651,137.815109,811.080017
2021-10-14,143.550491,139.30908200000002,818.320007
2021-10-15,144.628922,139.986374,843.0300289999999
2021-10-18,146.336426,141.111832,870.1099849999999
2021-10-19,148.543198,144.109772,864.2700199999999
2021-10-20,149.04248,145.414505,865.7999880000001
2021-10-21,149.262146,146.221252,894.0
2021-10-22,148.47331200000002,147.745117,909.679993
2021-10-25,148.42338600000002,149.458221,1024.859985
2021-10-26,149.102402,148.15348799999998,1018.429993
2021-10-27,148.63308700000002,146.93837,1037.859985
2021-10-28,152.347656,147.854675,1077.040039
2021-10-29,149.581696,148.820801,1114.0
2021-11-01,148.74292,149.189301,1208.589966
2021-11-02,149.801376,149.119598,1172.0
2021-11-03,151.269241,149.577744,1213.859985
2021-11-04,150.740005,150.67334,1229.910034
2021-11-05,151.279999,149.627548,1222.089966
2021-11-08,150.440002,148.671402,1162.939941
2021-11-09,150.809998,149.189301,1023.5
2021-11-10,147.919998,147.844727,1067.949951
2021-11-11,147.869995,147.90448,1063.51001
2021-11-12,149.990005,147.16745,1033.420044
2021-11-15,150.0,146.320862,1013.3900150000001
2021-11-16,151.0,142.595856,1054.72998
2021-11-17,153.490005,141.370789,1089.01001
2021-11-18,157.869995,142.58590700000002,1096.380005
2021-11-19,160.550003,141.818985,1137.060059
2021-11-22,161.020004,144.199402,1156.869995
2021-11-23,161.41000400000001,145.225266,1109.030029
2021-11-24,161.940002,145.952332,1116.0
2021-11-26,156.809998,144.31890900000002,1081.920044
2021-11-29,160.240005,142.058029,1136.98999
2021-11-30,165.300003,140.066055,1144.76001
2021-12-01,164.770004,136.59004199999998,1095.0
2021-12-02,163.759995,134.926743,1084.599976
2021-12-03,161.83999599999999,136.958557,1014.9699710000001
2021-12-06,165.320007,138.44258100000002,1009.01001
2021-12-07,171.179993,137.99438500000002,1051.75
2021-12-08,175.080002,136.599991,1068.959961
2021-12-09,174.559998,138.5,1003.7999880000001
2021-12-10,179.449997,141.029999,1017.0300289999999
2021-12-13,175.740005,143.570007,966.409973
2021-12-14,174.330002,144.940002,958.51001
2021-12-15,179.300003,145.770004,975.98999
2021-12-16,172.259995,143.33999599999999,926.919983
2021-12-17,171.139999,138.75,932.570007
2021-12-20,169.75,139.199997,899.9400019999999
2021-12-21,172.990005,139.619995,938.5300289999999
2021-12-22,175.639999,139.800003,1008.8699949999999
2021-12-23,176.279999,139.490005,1067.0
2021-12-27,180.330002,140.759995,1093.939941
2021-12-28,179.28999299999998,142.779999,1088.469971
2021-12-29,179.380005,142.71000700000002,1086.189941
2021-12-30,178.199997,143.169998,1070.339966
2021-12-31,177.570007,144.690002,1056.780029
2022-01-03,182.009995,144.649994,1199.780029
2022-01-04,179.699997,142.0,1149.589966
2022-01-05,174.919998,143.919998,1088.119995
2022-01-06,172.0,143.520004,1064.699951
2022-01-07,172.169998,144.889999,1026.959961
2022-01-10,172.190002,144.610001,1058.119995
2022-01-11,175.080002,144.199997,1064.400024
2022-01-12,175.529999,143.440002,1106.219971
2022-01-13,172.190002,145.470001,1031.560059
2022-01-14,173.070007,145.059998,1049.609985
2022-01-18,169.800003,142.520004,1030.51001
2022-01-19,166.229996,143.940002,995.650024
2022-01-20,164.509995,141.220001,996.2700199999999
2022-01-21,162.41000400000001,140.190002,943.900024
2022-01-24,161.619995,140.199997,930.0
2022-01-25,159.779999,137.149994,918.400024
2022-01-26,159.690002,135.75,937.409973
2022-01-27,159.220001,135.83999599999999,829.099976
